DD_0_0,DD_0_1,DD_1_0,DD_1_1,Dz_0_0_0,Dz_0_0_1,Dz_0_1_0,Dz_0_1_1,Dz_1_0_0,Dz_1_0_1,Dz_1_1_0,Dz_1_1_1,H_0_0,H_0_1,H_1_0,H_1_1,I,pi2_0_0_0_0,pi2_0_0_0_1,pi2_0_0_1_0,pi2_0_0_1_1,pi2_0_1_0_0,pi2_0_1_0_1,pi2_0_1_1_0,pi2_0_1_1_1,pi2_1_0_0_0,pi2_1_0_0_1,pi2_1_0_1_0,pi2_1_0_1_1,pi2_1_1_0_0,pi2_1_1_0_1,pi2_1_1_1_0,pi2_1_1_1_1,mu,r,num_epochs,m_01,m_10,Ne_0,Ne_1,Ne_0_epoch_2,Ne_1_epoch_2,num_gen_epoch_2,type
9.16970895816131e-06,1.84979728909944e-06,1.84979728909944e-06,2.22197531394185e-05,1.54217910834928e-05,-7.17557125544688e-06,-7.17557125544688e-06,1.8433210107299e-05,2.76543176158242e-05,4.44299012981434e-06,4.44299012981434e-06,1.77758420087537e-05,0.0008324589099143,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,1.34979889016897e-05,3.40465404099568e-05,3.40465404099568e-05,1.73367797172219e-05,3.40465404099568e-05,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,3.40465404099568e-05,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,1.73367797172219e-05,8.44362151623967e-05,8.44362151623967e-05,4.88828052161248e-05,1e-06,0,1,0,1e-04,1000,10000,NA,NA,NA,steady
3.14683848652351e-05,7.4056515781334e-06,7.4056515781334e-06,2.22197531394185e-05,2.53345390777473e-05,1.31814731239655e-05,1.31814731239655e-05,0.000112572263505,1.28386875837211e-05,4.44299012981434e-06,4.44299012981434e-06,1.77758420087537e-05,0.00332774590662714,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,0.000117169235417093,0.0001360940387862,0.0001360940387862,6.88804076901958e-05,0.0001360940387862,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,0.0001360940387862,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,6.88804076901958e-05,8.44362151623967e-05,8.44362151623967e-05,4.88828052161248e-05,1e-06,0,1,0,1e-04,10000,10000,NA,NA,NA,steady
4.29146079169746e-06,1.36307607094982e-06,1.36307607094982e-06,1.34449596161303e-05,7.1436994837098e-06,2.84877359314466e-07,2.84877359314466e-07,1.70897053962317e-06,5.77405229840166e-05,9.81980578549768e-06,9.81980578549768e-06,1.01467185218744e-05,0.000570910499582622,0.00242535444866189,0.00242535444866189,0.00228291416734381,0.0953101798043249,6.29279320035483e-06,1.41578397772393e-05,1.41578397772393e-05,1.31731232339705e-05,1.41578397772393e-05,5.94219344818865e-05,5.94219344818865e-05,5.61259249107561e-05,1.41578397772393e-05,5.94219344818865e-05,5.94219344818865e-05,5.61259249107561e-05,1.31731232339705e-05,5.61259249107561e-05,5.61259249107561e-05,5.43431733830987e-05,1e-06,0,1,1e-04,1e-04,1000,10000,NA,NA,NA,steady
5.45123841730931e-05,2.7253838610705e-05,2.7253838610705e-05,5.45123841730931e-05,4.70687622483462e-05,1.52553036371793e-05,1.52553036371793e-05,6.29274300278225e-05,6.29274300278225e-05,1.52553036371793e-05,1.52553036371793e-05,4.70687622483462e-05,0.00399182206633047,0.00498734250604415,0.00498734250604415,0.00399182206633047,0.0953101798043249,0.00017094488808992,0.000204661155476809,0.000204661155476809,0.000163099898488362,0.000204661155476809,0.000254645675037764,0.000254645675037764,0.000204661155476809,0.000204661155476809,0.000254645675037764,0.000254645675037764,0.000204661155476809,0.000163099898488362,0.000204661155476809,0.000204661155476809,0.00017094488808992,1e-06,0,1,1e-04,1e-04,10000,10000,NA,NA,NA,steady
9.16970895816131e-06,1.84979728909944e-06,1.84979728909944e-06,2.22197531394185e-05,1.54217910834928e-05,-7.17557125544688e-06,-7.17557125544688e-06,1.8433210107299e-05,2.76543176158242e-05,4.44299012981434e-06,4.44299012981434e-06,1.77758420087537e-05,0.0008324589099143,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,1.34979889016897e-05,3.40465404099568e-05,3.40465404099568e-05,1.73367797172219e-05,3.40465404099568e-05,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,3.40465404099568e-05,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,1.73367797172219e-05,8.44362151623967e-05,8.44362151623967e-05,4.88828052161248e-05,1e-06,0,2,0,1e-04,1000,10000,100,1000,5000,steady
3.14683848652351e-05,7.4056515781334e-06,7.4056515781334e-06,2.22197531394185e-05,2.53345390777473e-05,1.31814731239655e-05,1.31814731239655e-05,0.000112572263505,1.28386875837211e-05,4.44299012981434e-06,4.44299012981434e-06,1.77758420087537e-05,0.00332774590662714,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,0.000117169235417093,0.0001360940387862,0.0001360940387862,6.88804076901958e-05,0.0001360940387862,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,0.0001360940387862,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,6.88804076901958e-05,8.44362151623967e-05,8.44362151623967e-05,4.88828052161248e-05,1e-06,0,2,0,1e-04,10000,10000,1000,1000,5000,steady
4.29146079169746e-06,1.36307607094982e-06,1.36307607094982e-06,1.34449596161303e-05,7.1436994837098e-06,2.84877359314466e-07,2.84877359314466e-07,1.70897053962317e-06,5.77405229840166e-05,9.81980578549768e-06,9.81980578549768e-06,1.01467185218744e-05,0.000570910499582622,0.00242535444866189,0.00242535444866189,0.00228291416734381,0.0953101798043249,6.29279320035483e-06,1.41578397772393e-05,1.41578397772393e-05,1.31731232339705e-05,1.41578397772393e-05,5.94219344818865e-05,5.94219344818865e-05,5.61259249107561e-05,1.41578397772393e-05,5.94219344818865e-05,5.94219344818865e-05,5.61259249107561e-05,1.31731232339705e-05,5.61259249107561e-05,5.61259249107561e-05,5.43431733830987e-05,1e-06,0,2,1e-04,1e-04,1000,10000,100,1000,5000,steady
5.45123841730931e-05,2.7253838610705e-05,2.7253838610705e-05,5.45123841730931e-05,4.70687622483462e-05,1.52553036371793e-05,1.52553036371793e-05,6.29274300278225e-05,6.29274300278225e-05,1.52553036371793e-05,1.52553036371793e-05,4.70687622483462e-05,0.00399182206633047,0.00498734250604415,0.00498734250604415,0.00399182206633047,0.0953101798043249,0.00017094488808992,0.000204661155476809,0.000204661155476809,0.000163099898488362,0.000204661155476809,0.000254645675037764,0.000254645675037764,0.000204661155476809,0.000204661155476809,0.000254645675037764,0.000254645675037764,0.000204661155476809,0.000163099898488362,0.000204661155476809,0.000204661155476809,0.00017094488808992,1e-06,0,2,1e-04,1e-04,10000,10000,1000,1000,5000,steady
8.95670388864063e-06,1.6184786902834e-06,1.6184786902834e-06,1.97652246666997e-05,1.51113758225824e-05,-7.19510611514381e-06,-7.19510611514381e-06,1.77743720349833e-05,2.33468374604298e-05,3.78018085506507e-06,3.78018085506507e-06,1.55021698406578e-05,0.0008324589099143,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,1.33527108520813e-05,3.39524436092403e-05,3.39524436092403e-05,1.7249411227983e-05,3.39524436092403e-05,0.000163853975204141,0.000163853975204141,8.3867862992447e-05,3.39524436092403e-05,0.000163853975204141,0.000163853975204141,8.3867862992447e-05,1.7249411227983e-05,8.3867862992447e-05,8.3867862992447e-05,4.77460101411159e-05,1e-06,1e-05,1,0,1e-04,1000,10000,NA,NA,NA,steady
2.91553349791564e-05,6.17581892970192e-06,6.17581892970192e-06,1.97652246666997e-05,2.27313816402933e-05,1.080251165274e-05,1.080251165274e-05,0.000102703825781624,1.04097758180979e-05,3.78018085506507e-06,3.78018085506507e-06,1.55021698406578e-05,0.00332774590662714,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,0.000116498513784687,0.000135738887060367,0.000135738887060367,6.85962572229208e-05,0.000135738887060367,0.000163853975204141,0.000163853975204141,8.3867862992447e-05,0.000135738887060367,0.000163853975204141,0.000163853975204141,8.3867862992447e-05,6.85962572229208e-05,8.3867862992447e-05,8.3867862992447e-05,4.77460101411159e-05,1e-06,1e-05,1,0,1e-04,10000,10000,NA,NA,NA,steady
