"e1","e2","e3","e4","e5","Ne","mu","r","theta","rho","ratio"
"1",0.993999986746664,0.996999993353297,0.99899999001004,1,0.999,1000,1e-08,1e-08,4e-05,4e-05,1
"2",0.993999867466373,0.996999933529643,0.998999900103984,1,0.999,1000,1e-08,1e-07,4e-05,4e-04,0.1
"3",0.993998674637292,0.996999334964267,0.998999001398442,1,0.999,1000,1e-08,1e-06,4e-05,0.004,0.01
"4",0.993999867466373,0.996999933529643,0.998999900103984,1,0.999,1000,1e-07,1e-08,4e-04,4e-05,10
"5",0.993999867466373,0.996999933529643,0.998999900103984,1,0.999,1000,1e-07,1e-07,4e-04,4e-04,1
"6",0.993998674637292,0.996999334964267,0.998999001398442,1,0.999,1000,1e-07,1e-06,4e-04,0.004,0.1
"7",0.993998674637292,0.996999334964267,0.998999001398442,1,0.999,1000,1e-06,1e-08,0.004,4e-05,100
"8",0.993998674637292,0.996999334964267,0.998999001398442,1,0.999,1000,1e-06,1e-07,0.004,4e-04,10
"9",0.993998674637292,0.996999334964267,0.998999001398442,1,0.999,1000,1e-06,1e-06,0.004,0.004,1
"10",0.999399986674636,0.999699993334963,0.9998999900014,1,0.9999,10000,1e-08,1e-08,4e-04,4e-04,1
"11",0.999399866743706,0.999699933316308,0.999899900049987,1,0.9999,10000,1e-08,1e-07,4e-04,0.004,0.1
"12",0.999398667169522,0.999699329828145,0.999899004102334,1,0.9999,10000,1e-08,1e-06,4e-04,0.04,0.01
"13",0.999399866743706,0.999699933316308,0.999899900049987,1,0.9999,10000,1e-07,1e-08,0.004,4e-04,10
"14",0.999399866743706,0.999699933316308,0.999899900049987,1,0.9999,10000,1e-07,1e-07,0.004,0.004,1
"15",0.999398667169522,0.999699329828145,0.999899004102334,1,0.9999,10000,1e-07,1e-06,0.004,0.04,0.1
"16",0.999398667169522,0.999699329828145,0.999899004102334,1,0.9999,10000,1e-06,1e-08,0.04,4e-04,100
"17",0.999398667169522,0.999699329828145,0.999899004102334,1,0.9999,10000,1e-06,1e-07,0.04,0.004,10
"18",0.999398667169522,0.999699329828145,0.999899004102334,1,0.9999,10000,1e-06,1e-06,0.04,0.04,1
"19",0.99993998666717,0.999969993329829,0.999989990004101,1,0.99999,1e+05,1e-08,1e-08,0.004,0.004,1
"20",0.999939866644928,0.999969932964695,0.999989900401378,1,0.99999,1e+05,1e-08,1e-07,0.004,0.04,0.1
"21",0.999938663674352,0.999969296097515,0.999989040338133,1,0.99999,1e+05,1e-08,1e-06,0.004,0.4,0.01
"22",0.999939866644928,0.999969932964695,0.999989900401378,1,0.99999,1e+05,1e-07,1e-08,0.04,0.004,10
"23",0.999939866644928,0.999969932964695,0.999989900401378,1,0.99999,1e+05,1e-07,1e-07,0.04,0.04,1
"24",0.999938663674352,0.999969296097515,0.999989040338133,1,0.99999,1e+05,1e-07,1e-06,0.04,0.4,0.1
"25",0.999938663674352,0.999969296097515,0.999989040338133,1,0.99999,1e+05,1e-06,1e-08,0.4,0.004,100
"26",0.999938663674352,0.999969296097515,0.999989040338133,1,0.99999,1e+05,1e-06,1e-07,0.4,0.04,10
"27",0.999938663674352,0.999969296097515,0.999989040338133,1,0.99999,1e+05,1e-06,1e-06,0.4,0.4,1
