DD_0_0,DD_0_1,DD_1_0,DD_1_1,Dz_0_0_0,Dz_0_0_1,Dz_0_1_0,Dz_0_1_1,Dz_1_0_0,Dz_1_0_1,Dz_1_1_0,Dz_1_1_1,H_0_0,H_0_1,H_1_0,H_1_1,I,pi2_0_0_0_0,pi2_0_0_0_1,pi2_0_0_1_0,pi2_0_0_1_1,pi2_0_1_0_0,pi2_0_1_0_1,pi2_0_1_1_0,pi2_0_1_1_1,pi2_1_0_0_0,pi2_1_0_0_1,pi2_1_0_1_0,pi2_1_0_1_1,pi2_1_1_0_0,pi2_1_1_0_1,pi2_1_1_1_0,pi2_1_1_1_1,mu,r,num_epochs,m_01,m_10,Ne_0,Ne_1,Ne_0_bottleneck,Ne_1_bottleneck,num_gen_epoch_2,type
0.0003167895,1.99962e-06,1.99962e-06,0.0002222,0.0006137474,-0.0005592158,-0.0005592158,0.001588322,6.768384e-05,5.73253e-06,5.732528e-06,0.00017776,0.006270319,0.22,0.22,0.02,1,0.0003410457,0.001379624,0.001379624,0.000125535,0.001379624,0.04840764,0.04840764,0.004408039,0.001379624,0.04840764,0.04840764,0.004408039,0.000125535,0.004408039,0.004408039,0.00048884,1e-05,0,1,0,1e-05,1000,10000,NA,NA,NA,steady
0.002724196,1.057894e-05,1.057894e-05,0.0002222,0.004142993,-0.003708266,-0.003708266,0.014628,3.62261e-05,5.732529e-06,5.732529e-06,0.00017776,0.05333056,0.22,0.22,0.02,1,0.004570888,0.01173397,0.01173397,0.001067275,0.01173397,0.04840764,0.04840764,0.004408039,0.01173397,0.04840764,0.04840764,0.004408039,0.001067275,0.004408039,0.004408039,0.00048884,1e-05,0,1,0,1e-05,10000,10000,NA,NA,NA,steady
0.0001048982,9.791816e-06,9.791816e-06,0.0009929713,0.0001993122,-0.0001295499,-0.0001295499,0.0003046747,0.004352843,-0.001010571,-0.001010571,0.00128274,0.004322006,0.1205385,0.1205385,0.03675502,1,0.0001166827,0.0005223278,0.0005223278,0.0001595905,0.0005223278,0.0145509,0.0145509,0.00447217,0.0005223278,0.0145509,0.0145509,0.00447217,0.0001595905,0.00447217,0.00447217,0.001892403,1e-05,0,1,1e-05,1e-05,1000,10000,NA,NA,NA,steady
0.001323472,0.0001202938,0.0001202938,0.001323472,0.001835025,-0.001071694,-0.001071694,0.003641599,0.003641599,-0.001071694,-0.001071694,0.001835025,0.039998,0.139998,0.139998,0.039998,1,0.002375435,0.005665135,0.005665135,0.001610654,0.005665135,0.01966474,0.01966474,0.005665135,0.005665135,0.01966474,0.01966474,0.005665135,0.001610654,0.005665135,0.005665135,0.002375435,1e-05,0,1,1e-05,1e-05,10000,10000,NA,NA,NA,steady
0.0003167895,1.99962e-06,1.99962e-06,0.0002222,0.0006137474,-0.0005592158,-0.0005592158,0.001588322,6.768384e-05,5.73253e-06,5.732528e-06,0.00017776,0.006270319,0.22,0.22,0.02,1,0.0003410457,0.001379624,0.001379624,0.000125535,0.001379624,0.04840764,0.04840764,0.004408039,0.001379624,0.04840764,0.04840764,0.004408039,0.000125535,0.004408039,0.004408039,0.00048884,1e-05,0,2,0,1e-05,1000,10000,100,1000,5000,steady
0.002724196,1.057894e-05,1.057894e-05,0.0002222,0.004142993,-0.003708266,-0.003708266,0.014628,3.62261e-05,5.732529e-06,5.732529e-06,0.00017776,0.05333056,0.22,0.22,0.02,1,0.004570888,0.01173397,0.01173397,0.001067275,0.01173397,0.04840764,0.04840764,0.004408039,0.01173397,0.04840764,0.04840764,0.004408039,0.001067275,0.004408039,0.004408039,0.00048884,1e-05,0,2,0,1e-05,10000,10000,1000,1000,5000,steady
0.0001048982,9.791816e-06,9.791816e-06,0.0009929713,0.0001993122,-0.0001295499,-0.0001295499,0.0003046747,0.004352843,-0.001010571,-0.001010571,0.00128274,0.004322006,0.1205385,0.1205385,0.03675502,1,0.0001166827,0.0005223278,0.0005223278,0.0001595905,0.0005223278,0.0145509,0.0145509,0.00447217,0.0005223278,0.0145509,0.0145509,0.00447217,0.0001595905,0.00447217,0.00447217,0.001892403,1e-05,0,2,1e-05,1e-05,1000,10000,100,1000,5000,steady
0.001323472,0.0001202938,0.0001202938,0.001323472,0.001835025,-0.001071694,-0.001071694,0.003641599,0.003641599,-0.001071694,-0.001071694,0.001835025,0.039998,0.139998,0.139998,0.039998,1,0.002375435,0.005665135,0.005665135,0.001610654,0.005665135,0.01966474,0.01966474,0.005665135,0.005665135,0.01966474,0.01966474,0.005665135,0.001610654,0.005665135,0.005665135,0.002375435,1e-05,0,2,1e-05,1e-05,10000,10000,1000,1000,5000,steady
0.0003123616,1.747245e-06,1.747245e-06,0.0001976542,0.0006089702,-0.0005574268,-0.0005574268,0.001572023,5.456747e-05,4.843056e-06,4.843057e-06,0.0001550229,0.006270319,0.22,0.22,0.02,1,0.0003387034,0.001379604,0.001379604,0.0001255166,0.001379604,0.04840661,0.04840661,0.004407006,0.001379604,0.04840661,0.04840661,0.004407006,0.0001255166,0.004407006,0.004407006,0.0004774715,1e-05,1e-05,1,0,1e-05,1000,10000,NA,NA,NA,steady
0.00244209,8.592004e-06,8.592004e-06,0.0001976542,0.003850843,-0.003633219,-0.003633219,0.01339702,2.718816e-05,4.843056e-06,4.843056e-06,0.0001550229,0.05333056,0.22,0.22,0.02,1,0.004449129,0.0117338,0.0117338,0.001067181,0.0117338,0.04840661,0.04840661,0.004407006,0.0117338,0.04840661,0.04840661,0.004407006,0.001067181,0.004407006,0.004407006,0.0004774715,1e-05,1e-05,1,0,1e-05,10000,10000,NA,NA,NA,steady
0.0001028807,8.721743e-06,8.721743e-06,0.000892474,0.0001966228,-0.0001291179,-0.0001291179,0.0002989344,0.004012666,-0.0009939792,-0.0009939792,0.001182272,0.004322006,0.1205385,0.1205385,0.03675502,1,0.0001153618,0.0005222827,0.0005222827,0.0001595324,0.0005222827,0.01454924,0.01454924,0.0044689,0.0005222827,0.01454924,0.01454924,0.0044689,0.0001595324,0.0044689,0.0044689,0.001849995,1e-05,1e-05,1,1e-05,1e-05,1000,10000,NA,NA,NA,steady
0.001182084,9.848874e-05,9.848874e-05,0.001182084,0.001686248,-0.001054776,-0.001054776,0.003294513,0.003294513,-0.001054776,-0.001054776,0.001686248,0.039998,0.139998,0.139998,0.039998,1,0.002312557,0.005659822,0.005659822,0.001609769,0.005659822,0.01965942,0.01965942,0.005659822,0.005659822,0.01965942,0.01965942,0.005659822,0.001609769,0.005659822,0.005659822,0.002312557,1e-05,1e-05,1,1e-05,1e-05,10000,10000,NA,NA,NA,steady
0.0003123616,1.747245e-06,1.747245e-06,0.0001976542,0.0006089702,-0.0005574268,-0.0005574268,0.001572023,5.456747e-05,4.843056e-06,4.843057e-06,0.0001550229,0.006270319,0.22,0.22,0.02,1,0.0003387034,0.001379604,0.001379604,0.0001255166,0.001379604,0.04840661,0.04840661,0.004407006,0.001379604,0.04840661,0.04840661,0.004407006,0.0001255166,0.004407006,0.004407006,0.0004774715,1e-05,1e-05,2,0,1e-05,1000,10000,100,1000,5000,steady
0.00244209,8.592004e-06,8.592004e-06,0.0001976542,0.003850843,-0.003633219,-0.003633219,0.01339702,2.718816e-05,4.843056e-06,4.843056e-06,0.0001550229,0.05333056,0.22,0.22,0.02,1,0.004449129,0.0117338,0.0117338,0.001067181,0.0117338,0.04840661,0.04840661,0.004407006,0.0117338,0.04840661,0.04840661,0.004407006,0.001067181,0.004407006,0.004407006,0.0004774715,1e-05,1e-05,2,0,1e-05,10000,10000,1000,1000,5000,steady
