mu,r,num_epochs,m_01,m_10,Ne_0,Ne_1,Ne_0_epoch_2,Ne_1_epoch_2,num_gen_epoch_2
1e-06,0,1,0,1e-04,1000,10000,NA,NA,NA
1e-06,0,1,0,1e-04,10000,10000,NA,NA,NA
1e-06,0,1,1e-04,1e-04,1000,10000,NA,NA,NA
1e-06,0,1,1e-04,1e-04,10000,10000,NA,NA,NA
1e-06,0,2,0,1e-04,1000,10000,100,1000,5000
1e-06,0,2,0,1e-04,10000,10000,1000,1000,5000
1e-06,0,2,1e-04,1e-04,1000,10000,100,1000,5000
1e-06,0,2,1e-04,1e-04,10000,10000,1000,1000,5000
1e-06,1e-05,1,0,1e-04,1000,10000,NA,NA,NA
1e-06,1e-05,1,0,1e-04,10000,10000,NA,NA,NA
1e-06,1e-05,1,1e-04,1e-04,1000,10000,NA,NA,NA
1e-06,1e-05,1,1e-04,1e-04,10000,10000,NA,NA,NA
1e-06,1e-05,2,0,1e-04,1000,10000,100,1000,5000
1e-06,1e-05,2,0,1e-04,10000,10000,1000,1000,5000
1e-06,1e-05,2,1e-04,1e-04,1000,10000,100,1000,5000
1e-06,1e-05,2,1e-04,1e-04,10000,10000,1000,1000,5000
