vals,stats,mu,model,order,r,s,demo
751,5.5486e-07,DD_0_0,1e-08,1,2,1e-08,0,constant
752,4.43799e-07,Dr_0_0_l_0,1e-08,1,2,1e-08,0,constant
753,0.00099999,Hl_0_0,1e-08,1,2,1e-08,0,constant
754,0.00099999,Hr_0_0,1e-08,1,2,1e-08,0,constant
755,1.22187e-06,pi2_0_0_0_0,1e-08,1,2,1e-08,0,constant
756,5.5486e-07,DD_0_0,1e-08,1,5,1e-08,0,constant
757,4.43799e-07,Dr_0_0_l_0,1e-08,1,5,1e-08,0,constant
758,0.00099999,Hl_0_0,1e-08,1,5,1e-08,0,constant
759,0.00099999,Hr_0_0,1e-08,1,5,1e-08,0,constant
760,1.22187e-06,pi2_0_0_0_0,1e-08,1,5,1e-08,0,constant
761,5.5486e-07,DD_0_0,1e-08,1,10,1e-08,0,constant
762,4.43799e-07,Dr_0_0_l_0,1e-08,1,10,1e-08,0,constant
763,0.00099999,Hl_0_0,1e-08,1,10,1e-08,0,constant
764,0.00099999,Hr_0_0,1e-08,1,10,1e-08,0,constant
765,1.22187e-06,pi2_0_0_0_0,1e-08,1,10,1e-08,0,constant
766,5.5486e-07,DD_0_0,1e-08,1,20,1e-08,0,constant
767,4.43799e-07,Dr_0_0_l_0,1e-08,1,20,1e-08,0,constant
768,0.00099999,Hl_0_0,1e-08,1,20,1e-08,0,constant
769,0.00099999,Hr_0_0,1e-08,1,20,1e-08,0,constant
770,1.22187e-06,pi2_0_0_0_0,1e-08,1,20,1e-08,0,constant
771,5.5486e-07,DD_0_0,1e-08,1,100,1e-08,0,constant
772,4.43799e-07,Dr_0_0_l_0,1e-08,1,100,1e-08,0,constant
773,0.00099999,Hl_0_0,1e-08,1,100,1e-08,0,constant
774,0.00099999,Hr_0_0,1e-08,1,100,1e-08,0,constant
775,1.22187e-06,pi2_0_0_0_0,1e-08,1,100,1e-08,0,constant
776,5.48723e-07,DD_0_0,1e-08,2,2,1e-07,0,constant
777,4.38102e-07,Dr_0_0_l_0,1e-08,2,2,1e-07,0,constant
778,0.00099999,Hl_0_0,1e-08,2,2,1e-07,0,constant
779,0.00099999,Hr_0_0,1e-08,2,2,1e-07,0,constant
780,1.21902e-06,pi2_0_0_0_0,1e-08,2,2,1e-07,0,constant
781,5.48723e-07,DD_0_0,1e-08,2,5,1e-07,0,constant
782,4.38102e-07,Dr_0_0_l_0,1e-08,2,5,1e-07,0,constant
783,0.00099999,Hl_0_0,1e-08,2,5,1e-07,0,constant
784,0.00099999,Hr_0_0,1e-08,2,5,1e-07,0,constant
785,1.21902e-06,pi2_0_0_0_0,1e-08,2,5,1e-07,0,constant
786,5.48723e-07,DD_0_0,1e-08,2,10,1e-07,0,constant
787,4.38102e-07,Dr_0_0_l_0,1e-08,2,10,1e-07,0,constant
788,0.00099999,Hl_0_0,1e-08,2,10,1e-07,0,constant
789,0.00099999,Hr_0_0,1e-08,2,10,1e-07,0,constant
790,1.21902e-06,pi2_0_0_0_0,1e-08,2,10,1e-07,0,constant
791,5.48723e-07,DD_0_0,1e-08,2,20,1e-07,0,constant
